comment,author_display_name,comment_like_count
Beautiful rendition of classic collection,@linabartholomeusz7192,3
💕💕💕💕💕💕love sanam,@manavsadotra780,2
Love from gorkha,@riwajrai1256,2
I love you and your voice sir ❤,@riwajrai1256,2
You are best singer,@vivekmaurya3076,1
https://youtu.be/uJE01EcIJmA,@PATELDHARMENDRA123,0
What a collection. Excellent.,@murariprasadshrivastava930,8
"""Achha ji me hari  chalo maan jaon na "" and  "" haal kaisa he janab ka"" these two songs plz.. request.",@sonalipawar6241,0
Nice,@sambanna2575,0
Bohot acha gatay hn aap sb..,@sultanadamadam244,0
I love u bro. You beast of the life...,@sultanadamadam244,6
I m waiting for another songs.,@heenapuvar1990,2
Seventeen Eighteen Eight Seven,@dishantsalian785,0
🥰🥰🥰😍😍🤩🤩,@jaishrisharma9462,1
And it is tooo beautiful,@jaishrisharma9462,1
This is best collection of sanam,@jaishrisharma9462,0
Heart touching voice......,@DRJOTIRMOY,1
💕💕💕,@kavitakanojiya3685,2
Nicely created,@chasingdreamer2190,1
Please give me new song sanam,@sujatarai2402,1
I love voice Sanam👍👍👍😃😃,@sujatarai2402,10
Ok,@rajivshah8377,0
I love Sanam songs,@piryadevi7356,2
I m super fan sanam love you ❤😍😍,@neelimalovesnature3811,2
El Classico,@vikrantkamble3090,0
All the songs are amazing  and best . love you so much god bless you.Sanam puri is one of the best singer ever that i have heard,@himasribarman9556,4
Awesome singer,@monikabharti6978,2
I am biggest fan of sanam puri,@sudhamalik5051,3
Khub sundor.,@faridakhatun8519,0
Just speechless 🤐🤐,@sayankarmakar111,0
My best singer,@AbhishekPatel-xz2ck,3
Wow Katie ramro voice 😘💞👌,@pritikarai3913,0
Wow Katie ramro voice 😘💞👌,@pritikarai3913,0
Sanam puri is one of the best singer ever that i have heard,@fahimulkader6779,38
Sanam is my best singer,@das98160,1
😍😍😍🥰🥰,@innooninu9762,0
Loved all songs. Superb,@anuradhaprasad962,0
Superb songs sanam,@manojbhosale5457,1
Sanam you are too good,@neetashirodkar2693,4
Very sweet voice,@sudhatiwari8695,0
Jitni dafa song banado please,@mukarrimhossain957,3
Nice song,@shilpabenjethalalbhanushal6746,1
All song is nice,@lalthanngurizadeng7775,0
😘😘😘,@lalthanngurizadeng7775,1
Ooo,@tmgaming200,0
My life songs,@masumrana4725,0
O mara yar keya kardeya thunay,@jigmeebhutia358,1
If you r missing someone this collection will bring tears in you eyes. 😔,@sarangpol2534,9
😍😍,@reemamaharjan3217,1
Very sweet voice  sanampuri  I love sanam,@ivabhattacharya3419,1
Sanam 🥰🥰🥰we are lovers your best songs.,@souvikmaity9373,2
😭👍🤣🤣👍👌😂😂😂😂😂👌🥰🤣🤣🤣🤣🥰so much better,@souvikmaity9373,0
Classic ka aisa collection.......dil k har dard ki dawa or sukunn,@kavitakumar9355,11
55:23 is the love,@mahanteshyatnatti8692,3
Wow. l fan of sanam puri,@sandipbhattachriya1052,4
সব গান খুবই সুন্দর 🎼🎶🎵🎤🎸🎷🎧💞,@tanushreedas8230,3
I love your voice...... Sukun dene wali voice h 😍😍,@navikasharma4396,14
I  love sanam ❤❤❤,@siddheedhage3281,3
0oo mere dil ke chain @6my5 faviorate song &u my best singer❤,@vileshvariSingh,1
#udta hi firu  in hava me kahi oswm sing #🎤😘 pahla nasha pahila khuma,@vishalkolekar5383,2
❤️❤️❤️❤️💞💞💞💞💞💞💞👌👌👌👌👌👌👌👌👌👌👌 Dil khush kardiya,@dhirajgarg306,2
Fab 4 rocks,@epsitayadav4045,2
I want to listen more songs,@brajeshsharma1579,3
Very nice 👌✌️ to,@brajeshsharma1579,2
Oh  sanam I  am your big fan,@tridibtripathi9951,11
Stunning 👍❤❤,@neelamsubba6992,8
Bhut hi good gana gate ho music bi good h,@yashkeshari1622,3
Good Songs Very Very Nice  Good Jobs,@ranjankumardey6491,6
Thank you enormously saregama❤,@shivpooja4089,4
Nice ji gjb,@mohitrajaentertainment4374,2
Sab moh maya hai 🙏🙏🙏,@Ashishkumar-vb7qh,3
😍😍😍😊😊😊😊Sanam is cute and the best singer😍😍😍😊😊😊😊,@sudhajain5756,6
Love music 👇👇👇👇👇 https://www.youtube.com/channel/UCcKeMZZnGr7MO1A55LV8dlg,@rijukumarroy2431,1
Rina Roy kankar MP3 songs,@dipakchowdhury3525,3
Classic collection Zabardast wa,@azeemqureshi3335,6
"https://youtu.be/4D3_4zyx2RM
click on given link and suscribe",@balajisuthar7710,1
I love song...😘💕👌👌👌,@ps9276,2
